Category,Item Name,Brand Name,In Stock,Vendor,Stock Location,Order Days,Par, Reorder?,Unit Price,Case Price,Price per Ounce,,,,,,,,,,,,,,,,o
Water ,San Pelegrino,1L,0,Breakthru,Water Cooler,Tue,6,Yes,$2.33,$28.00,$0.07,,,,,,,,,,,,,,,,
Juice,Passion Fruit,Real,0,Breakthru,Dry Storage,Wed,1,Yes,$8.17,,$0.48,,,,,,,,,,,,,,,,
Juice,Guava,Real,3,Breakthru,Dry Storage,Wed,1,No,$8.17,,$0.48,,,,,,,,,,,,,,,,
Bitters,Hell Fire,Bittermans,0.6,Breakthru,Bar,Wed,0.5,No,$13.02,,$2.60,,,,,,,,,,,,,,,,
Spirits,Sour Apple,Mr. Boston,1.1,Breakthru,Bar,Wed,0.5,No,$9.26,,$0.27,,,,,,,,,,,,,,,,
Spirits,Peach,Mr. Boston,0.8,Breakthru,Bar,Wed,0.25,No,$9.26,,$0.27,,,,,,,,,,,,,,,,
Spirits,Creme de Violet,Giffard,0.9,Breakthru,Bar,Wed,0.5,No,$35.33,,$1.39,,,,,,,,,,,,,,,,
Spirits,Montenegro,,1,Breakthru,Bar,Wed,0.1,No,$43.75,,$1.29,,,,,,,,,,,,,,,,
White Wine,Albarino,Terras Gauda Abadia,10,Southern,Wine Wall,Mon,6,No,$10.00,$120.00,$0.39,,,,,,,,,,,,,,,,
White Wine,Pinot Grigio,Ruffino Aqua D'Venus,8,Southern,Wine Wall,Mon,4,No,$12.00,$144.00,$0.47,,,,,,,,,,,,,,,,
White Wine,Cremant,Gratien & Meyer,10,Southern,Wine Wall,Mon,4,No,$14.00,$168.00,$0.55,,,,,,,,,,,,,,,,
White Wine,Prosecco,Riondo,7,Southern,Wine Wall,Mon,8,Yes,$14.25,$171.00,$0.56,,,,,,,,,,,,,,,,
White Wine,Rose,Le Fete Du Rose,22,Southern,Wine Wall,Mon,4,No,$16.00,$192.00,$0.63,,,,,,,,,,,,,,,,
White Wine,Sauvignon Blanc,Bella Union by Far Niete,13,Southern,Wine Wall,Mon,4,No,$18.00,$216.00,$0.71,,,,,,,,,,,,,,,,
White Wine,Chardonnay,The Calling,4,Southern,Wine Wall,Mon,4,No,$19.00,$228.00,$0.75,,,,,,,,,,,,,,,,
Spirits,Burrito Mezcal,,,Maverick,Bar,,,No,,,,,,,,,,,,,,,,,,,
Spirits,Buffalo Trace,,0.3,Breakthru,Bar,Wed ,0.5,Yes,,,,,,,,,,,,,,,,,,,
Water,San Pelegrino,250ml,,Breakthru,Water Cooler,Tue,0,No,,,,,,,,,,,,,,,,,,,
Keg,Miller Lite,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,,,,,,
White Wine,Brut,Nicolas Feuillete,4,Southern,Wine Wall,Mon,4,No,$24.00,$144.00,$0.95,,,,,,,,,,,,,,,,
White Wine,Sancerre,Chateau de Sancerre,4,Southern,Wine Wall,Mon,4,No,$24.50,$294.00,$0.97,,,,,,,,,,,,,,,,
Prep,Whole Milk,,1,Sysco,Walk-In,Wed,1,No,$1.24,$4.95,$0.01,,,,,,,,,,,,,,,,
Prep,Heavy Cream,,1,Sysco,Walk-In,Wed,3,Yes,$5.32,$85.12,$0.17,,,,,,,,,,,,,,,,
Mixers,Iced Tea,,,Sysco,Bar,Wed,0,No,,,,,,,,,,,,,,,,,,,
Keg,Summer Shandy,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,w)R~vu;jyuQ3dOzWaP1$,,,,,,,,
Beer,Hop Refresher,Lagunitas,,CBS,Bar,Thur,0,No,,,,,,,,,,,,,,,,,,,
Keg,Truly,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,,,,,,
Keg,Modelo,,,CBS,Walk-In,Fri,2,Yes,,,,,,,,,,,,,,,,,,,
Keg,Blue Moon,,2,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,,,,,,
White Wine,Rose,Studio by Miravel,22,Southern,Wine Wall,Mon,8,No,,,,,,,,,,,,,,,,,,,
Garnish,Mint,,0,Sysco,Walk-In,Wed,1,Yes,,,,,,,,,,,,,,,,,,,
